Ano, Bloco, Componente, Acao/Servico/Estrategia, Competencia/Parcela, No OB,Data_OB,Valor Total
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - OPM EM ODONTOLOGIA,dez-08,804949,18/02/2009,"778,97"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,"FAEC - TRANSPLANTES DE ORGAOS, TECIDOS E CELULAS",dez-08,804952,18/02/2009,"1.044.145,90"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,FAEC - DIAGNOSTICO EM OTORRINOLARINGOLOGIA/FONOAUDIOLOGIA,dez-08,804948,18/02/2009,"2.394,14"
2009,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,out-08,805638,27/02/2009,"18.900,00"
2009,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,out-08,805639,27/02/2009,"8.100,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,CAPACITACAO DE PESSOAL EM ACOES DE CONTROLE DENGUE,dez-08,805566,27/02/2009,"420.947,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA SANITARIA,INCENTIVO A EXECUCAO DAS ACOES DE GESTAO DE PESSOAS EM VS - FNS,dez-08,805524,27/02/2009,"250.000,00"
2009,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,8-Nov,805675,27/02/2009,"18.900,00"
2009,ATENCAO BASICA,PISO DA ATENCAO BASICA VARIAVEL,INCENTIVO PARA ATENCAO A SAUDE NO SISTEMA PENITENCIARIO,8-Nov,805676,27/02/2009,"8.100,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA SANITARIA,INCENTIVO A EXECUCAO DAS ACOES DE GESTAO DE PESSOAS EM VS - ANVISA,dez-08,805523,27/02/2009,"250.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (ADICIONAL),9-Jan,806260,3/3/09,600
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,INCENTIVO P/HOSP DE REF P/SUBSISTEMA DE VIG. EP EM AMBITO HOSPITALAR,9-Jan,806198,3/3/09,"19.000,00"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,TETO FINANCEIRO DE VIGILANCIA EM SAUDE - TFVS (EX-TFECD),9-Jan,805763,3/3/09,"714.324,56"
2009,VIGILANCIA EM SAUDE,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,REDE NACIONAL DE SERVICOS DE VERIFICACAO DE OBTO E ESCL. CAUSA MORTIS,9-Jan,806173,3/3/09,"35.000,00"
2009,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,PROGRAMA DE AQUISICAO DE MEDICAMENTOS EXCEPCIONAIS,9-Jan,806440,4/3/09,"3.386.146,97"
2009,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,PROGRAMA DE AQUISICAO DE MEDICAMENTOS EXCEPCIONAIS,fev-09,806466,4/3/09,"3.386.146,97"
2009,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,INCENTIVO FINANCEIRO AOS MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL,9-Jan,806651,4/3/09,"301.440,00"
2009,MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE AMBUL. E HOSPITAR - MAC,TETO ESTADUAL DA MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,fev-09,806359,4/3/09,"37.511.074,63"
2009,ASSISTENCIA FARMACEUTICA,MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL - CMDE,INCENTIVO FINANCEIRO AOS MEDICAMENTOS DE DISPENSACAO EXCEPCIONAL,fev-09,806678,4/3/09,"301.440,00"
